Date,Open,High,Low,Close,Adj Close
2023-04-05,105.78,106.1,103.66,104.47,104.47
2023-04-06,105.26,109.17,104.33,108.42,108.42
2023-04-10,106.98,107.59,105.12,106.44,106.44
2023-04-11,106.55,106.73,104.68,105.35,105.35
2023-04-12,106.58,106.75,104.34,104.64,104.64
2023-04-13,105.84,107.49,105.84,107.43,107.43
2023-04-14,106.89,108.94,106.84,108.87,108.87
2023-04-17,104.66,106.16,104.52,105.97,105.97
2023-04-18,106.49,106.54,104.07,104.5,104.5
2023-04-19,103.58,104.98,103.07,104.18,104.18
2023-04-20,103.91,106.25,103.87,105.29,105.29
2023-04-21,105.47,106.0,104.78,105.41,105.41
2023-04-24,105.49,106.63,104.7,105.97,105.97
2023-04-25,105.82,106.69,103.84,103.85,103.85
2023-04-26,104.92,106.35,102.63,103.71,103.71
2023-04-27,104.45,108.37,103.54,107.59,107.59
2023-04-28,107.04,107.35,105.09,107.34,107.34
2023-05-01,106.84,107.99,106.82,107.2,107.2
2023-05-02,107.14,107.2,103.71,105.32,105.32
2023-05-03,105.53,107.49,104.96,105.41,105.41
2023-05-04,105.49,105.6,103.97,104.69,104.69
2023-05-05,104.82,105.88,104.11,105.57,105.57
2023-05-08,105.18,107.96,105.16,107.77,107.77
2023-05-09,108.39,110.15,107.19,107.35,107.35
2023-05-10,107.97,112.94,107.93,111.75,111.75
2023-05-11,115.39,117.92,114.41,116.57,116.57
2023-05-12,116.68,118.03,116.11,117.51,117.51
2023-05-15,116.11,118.48,116.01,116.51,116.51
2023-05-16,116.49,120.75,116.43,119.51,119.51
2023-05-17,119.61,121.67,118.89,120.84,120.84
2023-05-18,120.95,123.31,120.83,122.83,122.83
2023-05-19,123.55,125.97,122.15,122.76,122.76
2023-05-22,122.94,126.43,122.74,125.05,125.05
2023-05-23,124.16,124.63,122.21,122.56,122.56
2023-05-24,121.12,121.91,119.86,120.9,120.9
2023-05-25,124.52,125.32,121.96,123.48,123.48
2023-05-26,123.17,125.26,122.45,124.61,124.61
2023-05-30,125.64,125.66,122.0,123.67,123.67
2023-05-31,122.75,124.06,122.5,122.87,122.87
2023-06-01,122.82,124.42,122.62,123.72,123.72
2023-06-02,123.99,126.15,123.76,124.67,124.67
2023-06-05,124.01,127.43,123.84,126.01,126.01
2023-06-06,126.01,128.29,125.36,127.31,127.31
2023-06-07,126.97,129.04,122.12,122.5,122.5
2023-06-08,122.22,123.22,121.24,122.14,122.14
2023-06-09,122.25,123.75,121.91,122.23,122.23
2023-06-12,122.79,124.05,121.66,123.64,123.64
2023-06-13,124.98,125.16,123.18,123.83,123.83
2023-06-14,123.1,124.05,121.45,123.67,123.67
2023-06-15,123.14,125.46,122.4,125.09,125.09
2023-06-16,125.93,126.11,123.28,123.53,123.53
2023-06-20,122.93,124.57,122.14,123.1,123.1
2023-06-21,122.4,122.66,120.1,120.55,120.55
2023-06-22,120.0,123.24,118.83,123.15,123.15
2023-06-23,121.38,122.79,121.06,122.34,122.34
2023-06-26,120.76,122.0,118.26,118.34,118.34
2023-06-27,117.08,119.08,116.1,118.33,118.33
2023-06-28,117.09,120.39,116.85,120.18,120.18
2023-06-29,119.24,120.06,118.29,119.1,119.1
2023-06-30,120.17,121.08,119.69,119.7,119.7
2023-07-03,119.24,120.19,118.82,119.9,119.9
2023-07-05,119.24,122.61,119.23,121.75,121.75
2023-07-06,119.79,120.3,118.4,120.11,120.11
2023-07-07,120.1,121.05,119.4,119.48,119.48
2023-07-10,118.3,118.31,116.14,116.45,116.45
2023-07-11,116.29,117.71,115.35,117.14,117.14
2023-07-12,118.8,120.33,118.41,118.93,118.93
2023-07-13,120.93,124.83,120.45,124.54,124.54
2023-07-14,124.8,126.78,123.49,125.42,125.42
2023-07-17,125.94,127.1,124.19,124.65,124.65
2023-07-18,124.6,124.68,122.96,123.76,123.76
2023-07-19,124.6,125.18,121.8,122.03,122.03
2023-07-20,121.42,124.09,118.22,119.2,119.2
2023-07-21,120.62,120.99,118.73,120.02,120.02
2023-07-24,121.66,123.0,120.98,121.53,121.53
2023-07-25,121.36,123.14,121.02,122.21,122.21
2023-07-26,130.07,130.98,128.32,129.27,129.27
2023-07-27,131.67,133.24,128.79,129.4,129.4
2023-07-28,130.78,133.74,130.57,132.58,132.58
2023-07-31,132.73,133.52,131.77,132.72,132.72
2023-08-01,130.77,132.63,130.68,131.55,131.55
2023-08-02,129.45,130.09,127.56,128.38,128.38
2023-08-03,127.97,129.38,127.42,128.45,128.45
2023-08-04,129.28,131.51,127.91,128.11,128.11
2023-08-07,129.16,131.61,129.02,131.53,131.53
2023-08-08,130.62,131.51,129.54,131.4,131.4
2023-08-09,131.66,132.04,129.0,129.66,129.66
2023-08-10,131.32,132.05,129.45,129.69,129.69
2023-08-11,128.66,129.93,128.17,129.56,129.56
2023-08-14,129.39,131.37,128.96,131.33,131.33
2023-08-15,131.1,131.42,129.28,129.78,129.78
2023-08-16,128.7,130.28,127.86,128.7,128.7
2023-08-17,129.8,131.99,129.29,129.92,129.92
2023-08-18,128.51,129.25,126.38,127.46,127.46
2023-08-21,127.18,128.73,126.56,128.37,128.37
2023-08-22,128.51,130.28,128.32,129.08,129.08
2023-08-23,130.18,133.41,129.87,132.37,132.37
2023-08-24,133.95,134.25,129.57,129.78,129.78
2023-08-25,129.54,130.76,127.25,129.88,129.88
2023-08-28,131.31,132.54,130.14,131.01,131.01
2023-08-29,132.24,136.57,132.24,134.57,134.57
2023-08-30,134.78,136.27,134.07,135.88,135.88
2023-08-31,136.01,138.0,135.79,136.17,136.17
2023-09-01,137.46,137.46,134.85,135.66,135.66
2023-09-05,135.44,136.42,134.58,135.77,135.77
2023-09-06,136.02,136.53,133.66,134.46,134.46
2023-09-07,133.59,135.58,132.95,135.26,135.26
2023-09-08,134.91,136.66,134.85,136.38,136.38
2023-09-11,136.54,137.48,135.79,136.92,136.92
2023-09-12,136.26,136.87,135.19,135.34,135.34
2023-09-13,135.09,136.9,134.15,136.71,136.71
2023-09-14,137.6,138.7,136.24,138.1,138.1
2023-09-15,137.98,138.52,136.48,137.4,137.4
2023-09-18,136.61,139.16,136.61,138.21,138.21
2023-09-19,137.42,138.41,136.62,138.04,138.04
2023-09-20,138.08,138.08,133.62,133.74,133.74
2023-09-21,131.44,132.23,130.07,130.44,130.44
2023-09-22,130.76,132.02,129.6,130.25,130.25
2023-09-25,129.83,131.17,128.96,131.11,131.11
2023-09-26,129.77,130.36,127.22,128.57,128.57
2023-09-27,128.57,130.9,128.57,130.54,130.54
2023-09-28,129.84,133.3,129.79,132.31,132.31
2023-09-29,133.28,134.05,130.36,130.86,130.86
2023-10-02,131.21,134.42,131.17,134.17,134.17
2023-10-03,133.94,134.26,131.84,132.43,132.43
2023-10-04,132.79,135.57,132.53,135.24,135.24
2023-10-05,135.07,135.49,133.45,135.07,135.07
2023-10-06,134.01,138.15,134.01,137.58,137.58
2023-10-09,136.94,138.94,135.61,138.42,138.42
2023-10-10,138.5,139.72,137.33,138.06,138.06
2023-10-11,138.58,141.11,138.58,140.55,140.55
2023-10-12,141.05,141.22,138.26,138.97,138.97
2023-10-13,139.38,140.0,136.62,137.36,137.36
2023-10-16,138.17,139.63,137.99,139.1,139.1
2023-10-17,138.63,139.9,137.18,139.72,139.72
2023-10-18,139.45,140.72,137.38,137.96,137.96
2023-10-19,138.5,139.66,137.38,137.75,137.75
2023-10-20,137.33,137.87,135.08,135.6,135.6
2023-10-23,135.04,137.66,133.95,136.5,136.5
2023-10-24,137.83,139.36,137.42,138.81,138.81
2023-10-25,128.16,128.31,125.07,125.61,125.61
2023-10-26,123.27,124.33,121.27,122.28,122.28
2023-10-27,122.88,123.31,120.21,122.17,122.17
2023-10-30,123.21,125.4,122.75,124.46,124.46
2023-10-31,125.06,125.37,122.68,124.08,124.08
2023-11-01,124.07,126.49,123.71,126.45,126.45
2023-11-02,128.42,128.98,126.93,127.49,127.49
2023-11-03,128.02,129.52,127.86,129.1,129.1
2023-11-06,129.05,130.34,128.67,130.25,130.25
2023-11-07,130.71,131.91,129.88,130.97,130.97
2023-11-08,130.97,132.21,130.78,131.84,131.84
2023-11-09,131.96,132.55,130.07,130.24,130.24
2023-11-10,130.1,132.8,129.41,132.59,132.59
2023-11-13,131.78,132.59,131.25,132.09,132.09
2023-11-14,134.19,135.7,133.32,133.62,133.62
2023-11-15,134.87,135.03,133.57,134.62,134.62
2023-11-16,135.19,137.22,134.32,136.93,136.93
2023-11-17,136.0,136.06,133.65,135.31,135.31
2023-11-20,133.69,136.66,133.62,136.25,136.25
2023-11-21,136.29,137.18,135.96,136.97,136.97
2023-11-22,137.47,139.42,137.47,138.49,138.49
2023-11-24,138.03,138.13,135.99,136.69,136.69
2023-11-27,136.03,138.42,136.0,136.41,136.41
2023-11-28,136.08,137.25,135.42,137.2,137.2
2023-11-29,137.57,138.29,134.84,134.99,134.99
2023-11-30,135.05,135.55,131.28,132.53,132.53
2023-12-01,131.86,132.11,130.66,131.86,131.86
2023-12-04,129.88,130.03,127.9,129.27,129.27
2023-12-05,128.95,132.14,128.25,130.99,130.99
2023-12-06,131.44,131.84,129.88,130.02,130.02
2023-12-07,135.04,138.56,134.7,136.93,136.93
2023-12-08,134.2,136.4,134.02,134.99,134.99
2023-12-11,132.38,133.34,131.36,133.29,133.29
2023-12-12,131.81,133.0,131.26,132.52,132.52
2023-12-13,133.38,133.5,131.57,132.57,132.57
2023-12-14,133.38,133.72,129.68,131.94,131.94
2023-12-15,131.62,133.51,131.18,132.6,132.6
2023-12-18,132.63,137.15,132.43,135.8,135.8
2023-12-19,136.84,137.47,136.08,136.65,136.65
2023-12-20,138.97,141.7,138.07,138.34,138.34
2023-12-21,139.49,140.68,139.18,140.42,140.42
2023-12-22,140.77,141.99,140.71,141.49,141.49
2023-12-26,141.59,142.68,141.19,141.52,141.52
2023-12-27,141.59,142.08,139.89,140.37,140.37
2023-12-28,140.78,141.14,139.75,140.23,140.23
2023-12-29,139.63,140.36,138.78,139.69,139.69
2024-01-02,138.55,139.45,136.48,138.17,138.17
2024-01-03,137.25,139.63,137.08,138.92,138.92
2024-01-04,138.42,139.16,136.35,136.39,136.39
2024-01-05,136.74,137.16,135.15,135.73,135.73
2024-01-08,136.29,139.01,136.26,138.84,138.84
2024-01-09,138.5,141.49,138.15,140.95,140.95
2024-01-10,141.0,143.0,140.91,142.28,142.28
2024-01-11,143.49,145.22,140.63,142.08,142.08
2024-01-12,142.67,143.2,141.82,142.65,142.65
2024-01-16,142.0,144.35,141.45,142.49,142.49
2024-01-17,141.35,141.84,138.9,141.47,141.47
2024-01-18,142.05,144.21,141.99,143.48,143.48
2024-01-19,144.74,146.45,144.38,146.38,146.38
2024-01-22,147.1,148.39,145.84,145.99,145.99
2024-01-23,145.89,147.18,145.5,147.04,147.04
2024-01-24,148.54,149.85,148.1,148.7,148.7
2024-01-25,150.07,153.05,149.54,151.87,151.87
2024-01-26,151.1,152.54,151.01,152.18,152.18
2024-01-29,152.06,153.78,151.43,153.51,153.51
2024-01-30,152.8,153.62,151.18,151.46,151.46
2024-01-31,143.62,144.0,139.87,140.1,140.1
2024-02-01,142.12,143.06,140.79,141.16,141.16
2024-02-02,139.26,142.62,136.5,142.38,142.38
2024-02-05,142.82,145.47,142.78,143.68,143.68
2024-02-06,144.65,145.36,143.19,144.1,144.1
2024-02-07,144.76,145.62,143.93,145.54,145.54
2024-02-08,145.83,146.33,145.1,145.91,145.91
2024-02-09,146.68,149.44,146.18,149.0,149.0
2024-02-12,148.42,149.34,147.37,147.53,147.53
2024-02-13,144.92,146.67,143.69,145.14,145.14
2024-02-14,146.08,146.52,144.09,145.94,145.94
2024-02-15,143.14,143.52,140.46,142.77,142.77
2024-02-16,142.99,143.19,140.14,140.52,140.52
2024-02-20,139.65,142.08,139.49,141.12,141.12
2024-02-21,141.45,142.69,140.68,142.55,142.55
2024-02-22,144.93,145.0,142.8,144.09,144.09
2024-02-23,143.67,144.68,143.43,143.96,143.96
2024-02-26,142.14,142.44,137.39,137.57,137.57
2024-02-27,138.02,139.25,137.09,138.88,138.88
2024-02-28,137.9,138.01,135.41,136.38,136.38
2024-02-29,137.28,138.86,136.4,138.46,138.46
2024-03-01,138.43,138.87,136.92,137.14,137.14
2024-03-04,135.66,135.66,131.91,133.35,133.35
2024-03-05,131.88,133.24,130.66,132.67,132.67
2024-03-06,133.12,133.58,130.85,131.4,131.4
2024-03-07,132.79,134.94,131.61,134.38,134.38
2024-03-08,134.21,138.09,134.0,135.41,135.41
2024-03-11,136.13,139.1,136.13,137.67,137.67
2024-03-12,137.03,139.38,137.03,138.5,138.5
2024-03-13,139.0,141.09,138.99,139.79,139.79
2024-03-14,141.19,143.59,140.46,143.1,143.1
2024-03-15,142.5,143.18,140.03,141.18,141.18
2024-03-18,148.61,152.15,147.17,147.68,147.68
2024-03-19,148.16,148.79,146.08,147.03,147.03
2024-03-20,148.0,148.86,146.74,148.74,148.74
2024-03-21,149.47,150.37,146.9,147.6,147.6
2024-03-22,149.12,151.58,148.98,150.77,150.77
2024-03-25,149.94,150.38,147.82,150.07,150.07
2024-03-26,150.22,152.26,149.98,150.67,150.67
2024-03-27,151.18,151.63,148.9,150.87,150.87
2024-03-28,150.85,151.43,150.17,150.93,150.93
2024-04-01,150.69,155.74,150.61,155.49,155.49
2024-04-02,153.5,154.7,152.15,154.56,154.56
2024-04-03,153.6,155.08,152.73,154.92,154.92
2024-04-04,153.5,154.77,150.45,150.53,150.53
2024-04-05,150.03,153.42,149.6,152.5,152.5
2024-04-08,152.78,155.27,152.61,154.85,154.85
2024-04-09,156.09,158.56,155.19,156.6,156.6
2024-04-10,156.21,156.61,154.68,156.14,156.14
2024-04-11,156.91,159.68,156.46,159.41,159.41
2024-04-12,157.96,160.22,157.14,157.73,157.73
2024-04-15,158.86,159.24,154.59,154.86,154.86
2024-04-16,154.19,155.65,153.43,154.4,154.4
2024-04-17,155.62,157.08,154.58,155.47,155.47
2024-04-18,155.34,156.94,154.62,156.01,156.01
2024-04-19,156.2,156.36,152.3,154.09,154.09
2024-04-22,154.31,157.64,154.06,156.28,156.28
2024-04-23,156.96,158.97,156.28,158.26,158.26
2024-04-24,157.49,159.57,157.16,159.13,159.13
2024-04-25,151.33,156.49,150.87,156.0,156.0
2024-04-26,174.37,174.71,169.65,171.95,171.95
2024-04-29,169.06,169.55,165.21,166.15,166.15
2024-04-30,165.61,168.1,162.6,162.78,162.78
2024-05-01,164.3,167.12,163.09,163.86,163.86
2024-05-02,164.79,166.73,163.89,166.62,166.62
2024-05-03,167.56,167.96,163.05,167.24,167.24
2024-05-06,167.46,168.14,166.03,168.1,168.1
2024-05-07,168.5,171.76,168.39,171.25,171.25
2024-05-08,169.0,170.15,168.74,169.38,169.38
2024-05-09,169.39,170.69,168.18,169.96,169.96
2024-05-10,168.02,169.85,166.19,168.65,168.65
2024-05-13,164.26,169.28,164.0,169.14,169.14
2024-05-14,169.77,171.25,168.8,170.34,170.34
2024-05-15,170.63,172.65,170.51,172.51,172.51
2024-05-16,173.29,175.12,172.69,174.18,174.18
2024-05-17,174.18,176.26,173.69,176.06,176.06
2024-05-20,176.19,178.77,176.08,176.92,176.92
2024-05-21,176.9,178.15,175.81,177.85,177.85
2024-05-22,176.64,177.15,175.21,176.38,176.38
2024-05-23,177.07,178.25,172.95,173.55,173.55
2024-05-24,174.98,175.77,173.65,174.99,174.99
2024-05-28,174.45,177.27,174.37,176.4,176.4
2024-05-29,175.43,176.84,174.72,175.9,175.9
2024-05-30,175.2,175.22,171.79,172.11,172.11
2024-05-31,171.86,173.06,169.44,172.5,172.5
2024-06-03,172.54,174.52,171.16,173.17,173.17
2024-06-04,173.28,173.85,171.89,173.79,173.79
2024-06-05,175.2,176.65,173.93,175.41,175.41
2024-06-06,175.9,177.15,175.75,176.73,176.73
2024-06-07,177.05,177.87,174.3,174.46,174.46
2024-06-10,174.97,177.06,172.76,175.01,175.01
2024-06-11,176.22,176.84,173.77,176.62,176.62
